"lati","longi","x","y","z"
54.21667,-113,-0.228468959590841,-0.538239138969373,0.811233975980411
16.88333,-99.9,-0.164518633228175,-0.942649264469636,0.290423799843587
32.1,71.8,0.264585756284816,0.804742149546894,0.531398579518083
44.21667,0.61667,0.716666228156487,0.00771372049679374,0.69737365589478
-31.6,-65.23333,0.356808803727035,-0.773386221707885,-0.523985905970079
-30.86667,-64.55,0.368858776204855,-0.775068445957498,-0.513042013189646
19.08333,8.38333,0.934946083858453,0.137782887255837,0.326942955662281
29.71667,77.95,0.1813099357783,0.849350894627677,0.495711372658762
8.91667,8.43333,0.977232672839518,0.144886086182107,0.154997823100074
39.91667,42.81667,0.562603384049391,0.521280576356322,0.641672808345339
44.11667,4.08333,0.716101375117061,0.0511213715601036,0.696121703386174
44.65,11.01667,0.698302845925182,0.135947180148816,0.702774145499375
36.23333,37.13333,0.643061296234078,0.486931744773249,0.591074991196402
50.95,31.81667,0.535334373603899,0.332137043612733,0.77659647996776
45.26667,10.15,0.692793309784888,0.124029140185967,0.710390176101859
42.53333,-85.88333,0.0528991805928613,-0.734983002577505,0.676018980957457
26.96667,-105.31667,-0.235432368007988,-0.859613079921335,0.453472108207669
20.74575,32.41275,0.789471432839891,0.501260275540252,0.354221671972566
35.27333,44.21556,0.58513587445642,0.5693290375225,0.577477666631208
27.66667,78.25,0.180358144061607,0.867105214822524,0.464326917481894
26.58333,85.56667,0.0691273123580657,0.891608733202154,0.447498917947072
44.61667,-70.75,0.234680964474847,-0.672023076903784,0.70236018467872
20.88333,76.86667,0.212291505172863,0.909870418670214,0.356466180808684
-22.96667,-44.31667,0.658774075240841,-0.643244992936906,-0.390195587945553
9.53333,39.71667,0.758590390960033,0.630166801483549,0.165621318226543
25.15,105.18333,-0.237079030221146,0.873600275977062,0.424989518979235
53.58333,-2.71667,0.592985851938065,-0.0281374160608879,0.804721110210677
43.86667,5.38333,0.717774442981578,0.0676389672418656,0.692982553252922
38.5,-94.3,-0.0586789632046929,-0.780405219388719,0.62251463663762
-31.41667,-60.66667,0.418071438240212,-0.743980123994406,-0.521257947305389
31.805,-97.01,-0.10371747888556,-0.843493986453708,0.527029960618991
52.05,0.3,0.614965141971302,0.00321997937962617,0.788547719477402
43.03333,12.55,0.713491916861844,0.158830717328788,0.682423686433607
25.25417,80.625,0.14732659147721,0.892344004966135,0.426634565224978
34.31667,-96.15,-0.0884837908997486,-0.821180913514364,0.563766375396515
36.16667,3.66667,0.805651182074764,0.0516285206861441,0.590136144184793
44.33333,3.23333,0.7141476837638,0.0403437990739245,0.698831498754229
43.08333,0.58333,0.730323189890346,0.00743569858089202,0.683061306688502
-21.46028,-49.95083,0.598835662736543,-0.712422023814063,-0.365856131586667
46,13.5,0.675464904386795,0.162164776047351,0.719339800338651
36.8,-108,-0.247439601552309,-0.761540788142745,0.599023598515586
48.6,38,0.521120861362758,0.407144238655522,0.75011106963046
28.48333,78.5,0.175235622841092,0.861310603701534,0.476903051404365
35.96667,-82.48333,0.105875981042723,-0.802403836016049,0.58731453292505
16.66667,101.18333,-0.185801044952949,0.939798832427303,0.28680328844466
-6.91667,107.6,-0.300169347466545,0.946253676424259,-0.120425672906907
27.7,76.33333,0.209194553403799,0.860325235799076,0.46484204572462
43.95,-0.05,0.719945456009491,-0.000628271091592154,0.694030363634562
42.38333,-2.5,0.737948462659344,-0.0322195256975938,0.674087508134169
31.61667,76.8,0.19445776577435,0.829074915133957,0.524233690662542
52.56528,-1.33972,0.607690963126062,-0.0142119393556075,0.794046418110851
15.78333,-5.9,0.957199707649908,-0.0989169674280258,0.272000281672233
52.03333,20.93583,0.57458801215358,0.219825639451933,0.788368761766311
45.41667,-98.31667,-0.101532323115249,-0.694564021790318,0.712230304745087
38.25,-83.75,0.0854950000333231,-0.780649272655304,0.619093949309834
40.66813,-117.18913,-0.34657938561619,-0.674685361580014,0.651676601034247
11.08333,-0.18333,0.981343612432057,-0.00314002776434829,0.192236454826964
39.8,-101.2,-0.149227051758182,-0.753651683238909,0.640109699484955
51.16667,-117.33333,-0.287923534100292,-0.557046313643301,0.778973326223438
25.36667,82.91667,0.111423514739672,0.896688372324174,0.428409574241381
32.25,-8.15,0.83718624238489,-0.119894720340873,0.533614515915611
32.86667,10.8,0.825058126535506,0.157388255059985,0.542685935884554
39.08333,-89.15,0.011515179493402,-0.776144449935025,0.630449992843439
-26.16667,28.41667,0.789373600155679,0.427109569185531,-0.4409838265599
30,-7,0.859570181749867,-0.105541947331387,0.5
45.95,-67.55,0.265513708481503,-0.642592313534901,0.718733322724265
11.65,-3.65,0.977412743599684,-0.0623499745026537,0.201932685141501
41.68333,-3.8,0.745189763882559,-0.0494954495057901,0.665013094820603
43.21667,-0.23333,0.728763387024258,-0.00296781547531359,0.684759167740189
33.88333,35.5,0.675857962840337,0.482084799777004,0.557503596301652
22.68333,90.65,-0.0104669114284871,0.922590956068269,0.385637616871313
22.08333,86.9,0.0501114859589658,0.92528207578542,0.375954677062552
53.1,23.2,0.551867447500611,0.236530690121908,0.79968465848709
50.13333,27.16667,0.570289132785526,0.292669558349179,0.767538164941933
12.45,-0.08333,0.976483481800515,-0.00142018184589393,0.215587552642233
34.16667,-80.28333,0.139646644571084,-0.815537757709066,0.561602154920106
25.38333,82.6,0.11636167634978,0.895935279690557,0.428672293113135
49.78333,30.16667,0.558233695708171,0.324465181032721,0.763608202727944
60.4,25.8,0.444705134467221,0.214978861619474,0.869494929505219
36.83333,-97.33333,-0.102162129821834,-0.793835928764742,0.599489297179262
31.83333,-98.83333,-0.130463006037557,-0.839509256312533,0.52745010439019
33.83333,115.83333,-0.361964361256437,0.747649005371361,0.556778920171583
12.5,0.7,0.976223145817423,0.0119274091344327,0.216439613938103
44.55,131.63333,-0.473449316094733,0.532634399701465,0.701531425770856
44.86667,10.05,0.697875158668354,0.123682262287033,0.705459397066324
21.95,78.03333,0.192312465190166,0.90735410484146,0.373797330327324
54.23333,52.48333,0.355947287658403,0.463600192397303,0.811403962288705
48.15,24.28333,0.608152415002818,0.274378360263192,0.744894056591622
17.17493,-11.34133,0.936751469694361,-0.187884216364596,0.295290035840217
54.56667,-6.33333,0.576216975378686,-0.063954249578062,0.814790679405665
50.6,16.3,0.609217705549663,0.178147724192083,0.772733573497351
50.66694,8.18361,0.627373008474834,0.0902226464495222,0.77347461645802
